League,Season,Team,Location,M,W,D,L,G,GA,PTS,xG,xGA,xPTS
Ligue_1,2014,Lille,home,19,11,5,3,26,12,38,25.81,17.14,33.25
Ligue_1,2014,Lille,away,19,5,3,11,17,30,18,15.11,27.07,17.53
Ligue_1,2014,Paris Saint Germain,home,19,15,4,0,52,14,49,42.91,10.22,46.05
Ligue_1,2014,Paris Saint Germain,away,19,9,7,3,31,22,34,35.51,18.02,38.06
Ligue_1,2014,SC Bastia,home,19,8,7,4,24,18,31,18.72,17.07,27.42
Ligue_1,2014,SC Bastia,away,19,4,4,11,13,28,16,11.53,27.57,17.02
Ligue_1,2014,Rennes,home,19,8,5,6,22,22,29,20.72,16.49,28.48
Ligue_1,2014,Rennes,away,19,5,6,8,13,20,21,16.72,22.43,21.11
Ligue_1,2014,Marseille,home,19,13,2,4,40,22,41,33.34,17.71,35.58
Ligue_1,2014,Marseille,away,19,8,4,7,36,20,28,27.29,18.69,30.93
Ligue_1,2014,Caen,home,19,7,3,9,26,25,24,24.94,24.75,25.63
Ligue_1,2014,Caen,away,19,5,7,7,28,30,22,16.46,34.32,15.35
Ligue_1,2014,Montpellier,home,19,11,2,6,30,21,35,24.57,19.74,29.66
Ligue_1,2014,Montpellier,away,19,5,6,8,16,18,21,20.82,22.72,23.1
Ligue_1,2014,Nantes,home,19,7,7,5,17,17,28,20.9,15.36,30.06
Ligue_1,2014,Nantes,away,19,4,5,10,12,23,17,15.18,24.26,19.07
Ligue_1,2014,Guingamp,home,19,9,1,9,23,25,28,22.12,22.78,25.5
Ligue_1,2014,Guingamp,away,19,6,3,10,18,30,21,15.73,22.34,21.98
Ligue_1,2014,Nice,home,19,6,6,7,21,24,24,24.98,18.43,30.85
Ligue_1,2014,Nice,away,19,7,3,9,23,29,24,20.21,29.58,19.64
Ligue_1,2014,Monaco,home,19,8,9,2,23,10,33,31.57,16.56,34.47
Ligue_1,2014,Monaco,away,19,12,2,5,28,16,38,25.03,21.06,30.34
Ligue_1,2014,Toulouse,home,19,8,6,5,28,29,30,23.28,20.83,26.4
Ligue_1,2014,Toulouse,away,19,4,0,15,15,35,12,17.39,24.84,20.02
Ligue_1,2014,Saint-Etienne,home,19,12,5,2,32,11,41,26.16,17.5,32.83
Ligue_1,2014,Saint-Etienne,away,19,7,7,5,19,19,28,20.33,20.75,25.87
Ligue_1,2014,Bordeaux,home,19,12,5,2,31,23,41,29.97,21.56,31.67
Ligue_1,2014,Bordeaux,away,19,5,7,7,16,21,22,18.24,21.53,24.12
Ligue_1,2014,Reims,home,19,8,3,8,24,29,27,24.15,27.63,24.59
Ligue_1,2014,Reims,away,19,4,5,10,23,37,17,19.3,30.93,18.45
Ligue_1,2014,Lyon,home,19,14,3,2,40,11,45,34.19,17.99,36.98
Ligue_1,2014,Lyon,away,19,8,6,5,32,22,30,28.66,23.72,28.64
Ligue_1,2014,Lorient,home,19,6,5,8,17,17,23,22.2,17.7,28.8
Ligue_1,2014,Lorient,away,19,6,2,11,27,33,20,18.84,34.8,15.17
Ligue_1,2014,Metz,home,19,6,4,9,26,32,22,26.41,23.59,28.13
Ligue_1,2014,Metz,away,19,1,5,13,5,29,8,11.11,25.1,14.86
Ligue_1,2014,Evian Thonon Gaillard,home,19,7,2,10,20,25,23,18.24,24.02,22.06
Ligue_1,2014,Evian Thonon Gaillard,away,19,4,2,13,21,37,14,15.65,30.59,16.18
Ligue_1,2014,Lens,home,19,5,4,10,14,24,19,19.94,20.49,25.59
Ligue_1,2014,Lens,away,19,2,4,13,18,37,10,18.47,34.83,16.77
Ligue_1,2015,Lille,home,19,9,6,4,21,11,33,23.98,13.49,34.08
Ligue_1,2015,Lille,away,19,6,9,4,18,16,27,17.72,22.31,21.89
Ligue_1,2015,Paris Saint Germain,home,19,15,3,1,59,12,48,52.06,10.64,50.32
Ligue_1,2015,Paris Saint Germain,away,19,15,3,1,43,7,48,34.14,13.73,39.95
Ligue_1,2015,SC Bastia,home,19,11,2,6,23,14,35,17.44,18.54,25.07
Ligue_1,2015,SC Bastia,away,19,3,6,10,13,28,15,12.07,29.81,12.76
Ligue_1,2015,Rennes,home,19,6,7,6,25,25,25,21.39,21.64,26.04
Ligue_1,2015,Rennes,away,19,7,6,6,27,29,27,21.52,25.38,23.59
Ligue_1,2015,Marseille,home,19,3,11,5,27,24,20,28.03,20.25,31.29
Ligue_1,2015,Marseille,away,19,7,7,5,21,18,28,20.86,22.42,24.18
