League,Season,Team,Opponent,Home_Away,Result,Goals,Goals_Against,xG,xGA,xPTS,Points
Ligue_1,2014,Lille,N/A,h,d,0,0,1.54,0.06,2.64,1
Ligue_1,2014,Lille,N/A,a,w,1,0,0.95,0.27,2.19,3
Ligue_1,2014,Lille,N/A,h,w,2,0,0.78,0.34,1.79,3
Ligue_1,2014,Lille,N/A,a,d,1,1,0.21,1.74,0.14,1
Ligue_1,2014,Lille,N/A,h,w,2,0,1.46,0.99,1.77,3
Ligue_1,2014,Lille,N/A,h,d,0,0,0.82,0.35,1.78,1
Ligue_1,2014,Lille,N/A,a,l,0,1,0.22,0.87,0.62,0
Ligue_1,2014,Lille,N/A,h,w,1,0,0.67,0.46,1.48,3
Ligue_1,2014,Lille,N/A,a,l,0,3,0.37,2.34,0.13,0
Ligue_1,2014,Lille,N/A,h,l,1,2,1.91,1.15,1.92,0
Ligue_1,2014,Lille,N/A,a,l,0,2,0.39,2.17,0.24,0
Ligue_1,2014,Lille,N/A,h,d,1,1,1.57,1.51,1.37,1
Ligue_1,2014,Lille,N/A,a,l,0,2,0.58,2.38,0.24,0
Ligue_1,2014,Lille,N/A,a,l,0,1,0.28,1.24,0.5,0
Ligue_1,2014,Lille,N/A,h,d,1,1,1.33,3.25,0.32,1
Ligue_1,2014,Lille,N/A,a,d,1,1,0.72,1.19,0.93,1
Ligue_1,2014,Lille,N/A,h,w,3,0,2.32,0.08,2.88,3
Ligue_1,2014,Lille,N/A,a,l,1,2,0.74,1.31,0.86,0
Ligue_1,2014,Lille,N/A,h,w,1,0,0.44,0.75,0.92,3
Ligue_1,2014,Lille,N/A,h,w,1,0,1.19,0.19,2.35,3
Ligue_1,2014,Lille,N/A,a,l,0,1,0.69,1.55,0.54,0
Ligue_1,2014,Lille,N/A,h,l,0,1,0.74,0.91,1.14,0
Ligue_1,2014,Lille,N/A,a,d,1,1,0.63,1.38,0.7,1
Ligue_1,2014,Lille,N/A,a,w,2,1,2.23,0.59,2.66,3
Ligue_1,2014,Lille,N/A,h,d,0,0,0.37,0.14,1.45,1
Ligue_1,2014,Lille,N/A,a,l,1,2,0.37,0.44,1.16,0
Ligue_1,2014,Lille,N/A,h,w,2,1,1.04,0.39,1.95,3
Ligue_1,2014,Lille,N/A,a,w,1,0,0.55,0.21,1.61,3
Ligue_1,2014,Lille,N/A,h,w,3,0,1.87,0.43,2.57,3
Ligue_1,2014,Lille,N/A,a,l,0,2,0.23,1.22,0.46,0
Ligue_1,2014,Lille,N/A,h,w,3,1,2.82,0.94,2.66,3
Ligue_1,2014,Lille,N/A,a,w,1,0,1.77,1.17,1.91,3
Ligue_1,2014,Lille,N/A,h,w,2,0,1.29,1.4,1.24,3
Ligue_1,2014,Lille,N/A,a,l,1,6,0.3,2.95,0.07,0
Ligue_1,2014,Lille,N/A,h,w,3,1,2.56,0.38,2.84,3
Ligue_1,2014,Lille,N/A,a,l,2,3,1.43,1.74,1.14,0
Ligue_1,2014,Lille,N/A,h,l,0,4,1.09,3.43,0.18,0
Ligue_1,2014,Lille,N/A,a,w,4,1,2.46,2.33,1.44,3
Ligue_1,2014,Paris Saint Germain,N/A,a,d,2,2,2.66,1.37,2.3,1
Ligue_1,2014,Paris Saint Germain,N/A,h,w,2,0,1.51,0.16,2.48,3
Ligue_1,2014,Paris Saint Germain,N/A,a,d,0,0,0.39,0.63,1.03,1
Ligue_1,2014,Paris Saint Germain,N/A,h,w,5,0,1.61,0.38,2.39,3
Ligue_1,2014,Paris Saint Germain,N/A,a,d,1,1,1.49,0.29,2.44,1
Ligue_1,2014,Paris Saint Germain,N/A,h,d,1,1,1.71,0.54,2.37,1
Ligue_1,2014,Paris Saint Germain,N/A,a,w,2,0,2.15,0.94,2.22,3
