League,Season,points_away,xpoints_away,xg_away
Bundesliga,2014,319,345.95,342.45
Bundesliga,2015,371,365.94,376.87
Bundesliga,2016,320,350.1,360.2
Bundesliga,2017,335,342.84999999999997,347.01
Bundesliga,2018,358,358.87,430.55
Bundesliga,2019,413,396.62,454.52
Bundesliga,2020,369,393.99,407.94
EPL,2014,438,419.9,404.55
EPL,2015,455,458.3,440.82
EPL,2016,411,447.99,429.36
EPL,2017,423,438.34999999999997,423.17
EPL,2018,455,461.69,479.91999999999996
EPL,2019,440,475.35,500.09
EPL,2020,542,502.75,495.45
La_liga,2014,445,425.25,418.71
La_liga,2015,407,440.21,448.62
La_liga,2016,419,420.39,401.61
La_liga,2017,431,406.87,428.23
La_liga,2018,416,418.73,451.35
La_liga,2019,408,428.98,415.14
La_liga,2020,448,470.63,435.01
Ligue_1,2014,421,434.21,387.58
Ligue_1,2015,444,425.19,387.82
Ligue_1,2016,394,425.3,412.28
Ligue_1,2017,429,435.7,418.43
Ligue_1,2018,428,437.54,419.58
Ligue_1,2019,295,322.78000000000003,295.88
Ligue_1,2020,524,493.71,473.57
RFPL,2014,280,272.95,233.66
RFPL,2015,292,284.48,250.14
RFPL,2016,254,273.23,195.12
RFPL,2017,289,270.32,218.52
RFPL,2018,271,272.01,230.35
RFPL,2019,329,295.13,273.38
RFPL,2020,272,284.13,262.77
Serie_A,2014,444,437.48,429.2
Serie_A,2015,425,432.81,412.83
Serie_A,2016,425,445.59999999999997,456.98
Serie_A,2017,482,476.44,442.31
Serie_A,2018,426,441.94,460.02
Serie_A,2019,496,472.64,519.38
Serie_A,2020,481,487.5,537.79
