League,Season,points_home,xpoints_home,xg_home
Bundesliga,2014,517,496.85,460.53
Bundesliga,2015,476,482.4,487.40999999999997
Bundesliga,2016,524,496.0,482.54
Bundesliga,2017,500,502.59000000000003,470.63
Bundesliga,2018,487,496.28000000000003,544.09
Bundesliga,2019,437,456.78999999999996,502.78
Bundesliga,2020,468,452.76,467.32
EPL,2014,609,625.1,561.92
EPL,2015,578,589.78,540.17
EPL,2016,645,602.18,554.18
EPL,2017,618,614.39,568.77
EPL,2018,614,594.15,605.34
EPL,2019,608,580.41,583.16
EPL,2020,515,551.17,543.87
La_liga,2014,604,626.09,576.48
La_liga,2015,641,613.13,600.85
La_liga,2016,632,626.4,550.66
La_liga,2017,623,642.74,617.2
La_liga,2018,614,627.38,604.41
La_liga,2019,627,616.5,557.62
La_liga,2020,583,573.17,516.33
Ligue_1,2014,631,604.0,515.12
Ligue_1,2015,588,616.43,525.59
Ligue_1,2016,652,619.83,552.87
Ligue_1,2017,615,612.82,555.81
Ligue_1,2018,602,606.72,549.95
Ligue_1,2019,472,443.11,396.07
Ligue_1,2020,521,554.92,536.61
RFPL,2014,379,384.2,323.05
RFPL,2015,361,371.74,311.98
RFPL,2016,401,372.07,256.74
RFPL,2017,364,383.63,295.43
RFPL,2018,379,383.43,310.69
RFPL,2019,326,362.07,331.22
RFPL,2020,398,379.08,339.15
Serie_A,2014,576,607.72,552.38
Serie_A,2015,620,612.32,543.47
Serie_A,2016,635,606.92,589.84
Serie_A,2017,575,574.7,532.46
Serie_A,2018,606,606.65,584.12
Serie_A,2019,559,583.34,617.15
Serie_A,2020,562,568.31,600.27
