League,Season,points_home,xpoints_home,xg_home,points_away,xpoints_away,xg_away
Bundesliga,2014,517,496.85,460.53,319,345.95,342.45
Bundesliga,2015,476,482.4,487.40999999999997,371,365.94,376.87
Bundesliga,2016,524,496.0,482.54,320,350.1,360.2
Bundesliga,2017,500,502.59000000000003,470.63,335,342.84999999999997,347.01
Bundesliga,2018,487,496.28000000000003,544.09,358,358.87,430.55
Bundesliga,2019,437,456.78999999999996,502.78,413,396.62,454.52
Bundesliga,2020,468,452.76,467.32,369,393.99,407.94
EPL,2014,609,625.1,561.92,438,419.9,404.55
EPL,2015,578,589.78,540.17,455,458.3,440.82
EPL,2016,645,602.18,554.18,411,447.99,429.36
EPL,2017,618,614.39,568.77,423,438.34999999999997,423.17
EPL,2018,614,594.15,605.34,455,461.69,479.91999999999996
EPL,2019,608,580.41,583.16,440,475.35,500.09
EPL,2020,515,551.17,543.87,542,502.75,495.45
La_liga,2014,604,626.09,576.48,445,425.25,418.71
La_liga,2015,641,613.13,600.85,407,440.21,448.62
La_liga,2016,632,626.4,550.66,419,420.39,401.61
La_liga,2017,623,642.74,617.2,431,406.87,428.23
La_liga,2018,614,627.38,604.41,416,418.73,451.35
La_liga,2019,627,616.5,557.62,408,428.98,415.14
La_liga,2020,583,573.17,516.33,448,470.63,435.01
Ligue_1,2014,631,604.0,515.12,421,434.21,387.58
Ligue_1,2015,588,616.43,525.59,444,425.19,387.82
Ligue_1,2016,652,619.83,552.87,394,425.3,412.28
Ligue_1,2017,615,612.82,555.81,429,435.7,418.43
Ligue_1,2018,602,606.72,549.95,428,437.54,419.58
Ligue_1,2019,472,443.11,396.07,295,322.78000000000003,295.88
Ligue_1,2020,521,554.92,536.61,524,493.71,473.57
RFPL,2014,379,384.2,323.05,280,272.95,233.66
RFPL,2015,361,371.74,311.98,292,284.48,250.14
RFPL,2016,401,372.07,256.74,254,273.23,195.12
RFPL,2017,364,383.63,295.43,289,270.32,218.52
RFPL,2018,379,383.43,310.69,271,272.01,230.35
RFPL,2019,326,362.07,331.22,329,295.13,273.38
RFPL,2020,398,379.08,339.15,272,284.13,262.77
Serie_A,2014,576,607.72,552.38,444,437.48,429.2
Serie_A,2015,620,612.32,543.47,425,432.81,412.83
Serie_A,2016,635,606.92,589.84,425,445.59999999999997,456.98
Serie_A,2017,575,574.7,532.46,482,476.44,442.31
Serie_A,2018,606,606.65,584.12,426,441.94,460.02
Serie_A,2019,559,583.34,617.15,496,472.64,519.38
Serie_A,2020,562,568.31,600.27,481,487.5,537.79
