league,season,wilco-result,wilco-result-pvalue,result-cohend,wilco-xPoints,wilco-xPoints-pvalue,xPoints-cohend,wilco-xG,wilco-xG-pvalue,xG-pvalue
Bundesliga,2014,0.0,7.62939453125e-06,1.9863665759151916,0.0,7.62939453125e-06,2.2846168554663047,1.0,1.52587890625e-05,1.8586585981554191
Bundesliga,2015,33.5,0.02367401123046875,0.6277080284088423,6.0,0.0001068115234375,1.6082517804951464,9.0,0.00025177001953125,1.1642991649893488
Bundesliga,2016,1.5,2.288818359375e-05,1.5251084336552725,0.0,7.62939453125e-06,2.1874351095535376,0.0,7.62939453125e-06,1.4434740774214858
Bundesliga,2017,0.0,7.62939453125e-06,1.6031511026549945,0.0,7.62939453125e-06,2.4929108401904987,3.0,3.814697265625e-05,1.5367401401689296
Bundesliga,2018,3.5,0.0005430120301150889,1.3378834912671684,0.0,7.62939453125e-06,2.2363051995265804,5.0,7.62939453125e-05,1.5342903103033159
Bundesliga,2019,61.0,0.4623535315033023,0.1726127408008412,33.0,0.02081298828125,0.6575936765888963,36.0,0.030364990234375,0.5026422786102713
Bundesliga,2020,16.0,0.00128936767578125,0.9263671131731709,19.0,0.0023345947265625,0.9103909841945097,34.0,0.02367401123046875,0.6807182330135955
EPL,2014,6.5,3.62396240234375e-05,1.536927314191851,0.0,1.9073486328125e-06,2.5955800612267996,1.0,3.814697265625e-06,1.8331537582155717
EPL,2015,7.0,0.00039115464792615023,1.0717555386864275,2.0,5.7220458984375e-06,1.6763420134103448,19.0,0.0005855560302734375,0.9712121770653565
EPL,2016,3.0,9.5367431640625e-06,1.3835742565526898,0.0,1.9073486328125e-06,2.8167785056399692,5.0,1.9073486328125e-05,1.689847412013291
EPL,2017,1.5,0.00016583319783092414,1.372185047616466,0.0,1.9073486328125e-06,2.1839257463439035,0.0,1.9073486328125e-06,1.3431629155968317
EPL,2018,10.5,0.0001049041748046875,1.3296712887272026,1.0,3.814697265625e-06,2.1098776361015106,1.0,3.814697265625e-06,1.5354665254028126
EPL,2019,11.0,0.0001049041748046875,1.3426687325987046,18.0,0.0004825592041015625,1.0162227706251419,25.0,0.001689910888671875,0.8596952074062166
EPL,2020,84.0,0.4523754119873047,-0.20628725962395061,69.0,0.1893482208251953,0.41477090368248193,50.0,0.039989471435546875,0.5301684267260403
La_liga,2014,3.0,0.00021209589919181417,1.4199258744015335,0.0,1.9073486328125e-06,3.0572652681716206,0.0,1.9073486328125e-06,2.2261541802961484
La_liga,2015,1.0,3.814697265625e-06,1.5153965731884187,1.0,3.814697265625e-06,2.079934195877279,0.0,1.9073486328125e-06,1.5965869563758144
La_liga,2016,1.0,3.814697265625e-06,1.5087422729543267,1.0,3.814697265625e-06,2.568509593880866,10.0,8.20159912109375e-05,1.4397436222082058
La_liga,2017,0.0,1.9073486328125e-06,2.1498524593074686,0.0,1.9073486328125e-06,3.2676068199016313,2.0,5.7220458984375e-06,1.79834520183212
La_liga,2018,7.5,4.76837158203125e-05,1.3473441183919714,0.0,1.9073486328125e-06,4.579337735271625,0.0,1.9073486328125e-06,2.2251323275261616
La_liga,2019,1.0,3.814697265625e-06,1.5879991865483616,2.0,5.7220458984375e-06,2.2048580182490505,0.0,1.9073486328125e-06,1.936889309304231
La_liga,2020,13.0,0.0009377133543585996,1.0755350421000458,0.0,1.9073486328125e-06,1.5442266035902124,20.0,0.0007076263427734375,0.9400116143440543
Ligue_1,2014,3.0,0.00021146864581802016,1.640825308284734,0.0,1.9073486328125e-06,2.6460686713416175,0.0,1.9073486328125e-06,2.0170897072835934
Ligue_1,2015,12.0,0.0008172568722003519,1.1549976438874179,0.0,1.9073486328125e-06,3.1065968053313733,1.0,3.814697265625e-06,1.8594225514876805
Ligue_1,2016,0.0,1.9073486328125e-06,1.934009074209167,0.0,1.9073486328125e-06,2.7609257667457308,0.0,1.9073486328125e-06,3.3461539696795866
Ligue_1,2017,3.5,0.00022857268044365608,1.356400130718776,0.0,1.9073486328125e-06,2.101221432155416,1.0,3.814697265625e-06,1.8025842316605138
Ligue_1,2018,0.0,0.0001308020996998329,1.7829516038500781,0.0,1.9073486328125e-06,1.989045198763826,10.0,8.20159912109375e-05,1.2711731204009875
Ligue_1,2019,4.0,0.00024769072442556897,1.211902436206991,7.0,3.62396240234375e-05,1.3872373121322648,11.0,0.0001049041748046875,1.1561912641926282
Ligue_1,2020,86.0,0.49800872802734375,-0.01912302639636128,24.0,0.0014324188232421875,0.7519157914468463,46.0,0.026641845703125,0.6525680476187051
RFPL,2014,14.0,0.00335693359375,0.8939985830667295,0.0,3.0517578125e-05,2.4479065355648566,1.0,6.103515625e-05,1.6032346072088575
RFPL,2015,12.5,0.011826913156292663,0.8674614293654214,0.0,3.0517578125e-05,2.820025165216504,9.0,0.001007080078125,1.218027620216554
RFPL,2016,4.0,0.0014503399786305825,1.1561192050369784,0.0,3.0517578125e-05,2.649018045239463,3.0,0.000152587890625,1.6209919492263025
RFPL,2017,19.0,0.019629646222357473,0.7301539716331932,0.0,3.0517578125e-05,3.2284059910370213,1.0,6.103515625e-05,1.6417329763839867
RFPL,2018,3.0,0.000152587890625,1.3689543417211634,0.0,3.0517578125e-05,2.1075740635198494,0.0,3.0517578125e-05,1.5180587404245285
RFPL,2019,56.5,0.8421151871953576,-0.033327162207975755,5.0,0.00030517578125,1.3602608588783718,14.0,0.00335693359375,0.8749914017346349
RFPL,2020,9.5,0.004052993566014096,1.0053333711589283,1.0,6.103515625e-05,1.43697893824436,0.0,3.0517578125e-05,1.2397114211153544
Serie_A,2014,6.5,3.62396240234375e-05,1.4090474681670087,0.0,1.9073486328125e-06,2.381060902284535,1.0,3.814697265625e-06,1.425107757478767
Serie_A,2015,1.0,3.814697265625e-06,1.757184660004305,0.0,1.9073486328125e-06,2.7546617657941317,0.0,1.9073486328125e-06,2.1387334226543873
Serie_A,2016,0.0,0.00013100797196900614,1.7994125326214292,0.0,1.9073486328125e-06,2.5919652096386403,0.0,1.9073486328125e-06,1.6494837893131495
Serie_A,2017,36.5,0.018409788703074435,0.6274195349681732,0.0,1.9073486328125e-06,1.5872179339506807,23.0,0.001209259033203125,0.9973229039963886
Serie_A,2018,7.0,0.0003874283358554269,1.267731382092775,0.0,1.9073486328125e-06,2.36316273826502,7.0,3.62396240234375e-05,1.3151693932962247
Serie_A,2019,38.5,0.04002900538428562,0.5322381279845058,2.0,5.7220458984375e-06,1.3436375810661503,23.0,0.001209259033203125,0.8792351121465489
Serie_A,2020,43.0,0.03619636296042587,0.45697121015354464,19.0,0.0005855560302734375,1.0402135705232163,19.0,0.0005855560302734375,0.9427989089056916
